,opening time,closing time,drift rate,result,trade duration (min)
202,2021-03-24 12:45:00,2021-03-24 13:35:00,70.71067811865476,profit,50.0
341,2021-05-28 11:25:00,2021-05-28 11:30:00,50.24937810560445,profit,5.0
340,2021-05-28 07:45:00,2021-05-28 07:50:00,50.24937810560445,profit,5.0
204,2021-03-25 13:10:00,2021-03-25 13:15:00,50.24937810560445,profit,5.0
205,2021-03-25 19:20:00,2021-03-25 19:25:00,50.24937810560445,profit,5.0
336,2021-05-27 01:10:00,2021-05-27 01:20:00,50.99019513592785,profit,10.0
206,2021-03-26 07:35:00,2021-03-26 07:45:00,50.99019513592785,profit,10.0
207,2021-03-26 13:55:00,2021-03-26 14:05:00,50.99019513592785,profit,10.0
208,2021-03-26 19:50:00,2021-03-26 20:05:00,52.20153254455275,profit,15.0
209,2021-03-27 03:55:00,2021-03-27 04:15:00,53.85164807134504,profit,20.0
331,2021-05-24 12:25:00,2021-05-24 12:30:00,50.24937810560445,profit,5.0
211,2021-03-28 04:05:00,2021-03-28 04:35:00,58.309518948453004,profit,30.0
327,2021-05-23 15:40:00,2021-05-23 15:45:00,50.24937810560445,profit,5.0
326,2021-05-23 12:25:00,2021-05-23 12:30:00,50.24937810560445,profit,5.0
195,2021-03-21 06:20:00,2021-03-21 06:25:00,50.24937810560445,profit,5.0
213,2021-03-29 03:00:00,2021-03-29 04:15:00,90.13878188659973,profit,75.0
358,2021-06-07 20:25:00,2021-06-07 20:50:00,55.90169943749474,profit,25.0
360,2021-06-08 05:25:00,2021-06-08 05:30:00,50.24937810560445,profit,5.0
396,2021-06-26 01:40:00,2021-06-26 01:50:00,50.99019513592785,profit,10.0
394,2021-06-25 15:05:00,2021-06-25 15:10:00,50.24937810560445,profit,5.0
393,2021-06-25 11:50:00,2021-06-25 12:05:00,52.20153254455275,profit,15.0
389,2021-06-24 15:05:00,2021-06-24 15:10:00,50.24937810560445,profit,5.0
180,2021-03-13 20:05:00,2021-03-13 20:15:00,50.99019513592785,profit,10.0
387,2021-06-23 19:45:00,2021-06-23 19:55:00,50.99019513592785,profit,10.0
386,2021-06-23 16:10:00,2021-06-23 16:15:00,50.24937810560445,profit,5.0
181,2021-03-14 02:50:00,2021-03-14 03:10:00,53.85164807134504,profit,20.0
183,2021-03-14 21:30:00,2021-03-14 22:10:00,64.03124237432849,profit,40.0
184,2021-03-15 12:00:00,2021-03-15 12:10:00,50.99019513592785,profit,10.0
185,2021-03-15 23:25:00,2021-03-15 23:45:00,53.85164807134504,profit,20.0
380,2021-06-20 09:55:00,2021-06-20 10:10:00,52.20153254455275,profit,15.0
379,2021-06-19 02:35:00,2021-06-19 02:45:00,50.99019513592785,profit,10.0
378,2021-06-18 18:40:00,2021-06-18 18:45:00,50.24937810560445,profit,5.0
377,2021-06-18 15:20:00,2021-06-18 15:30:00,50.99019513592785,profit,10.0
376,2021-06-18 09:20:00,2021-06-18 09:45:00,55.90169943749474,profit,25.0
375,2021-06-16 22:40:00,2021-06-16 23:05:00,55.90169943749474,profit,25.0
369,2021-06-13 15:05:00,2021-06-13 15:55:00,70.71067811865476,profit,50.0
191,2021-03-19 00:05:00,2021-03-19 00:10:00,50.24937810560445,profit,5.0
367,2021-06-12 05:45:00,2021-06-12 05:50:00,50.24937810560445,profit,5.0
192,2021-03-19 19:35:00,2021-03-19 20:15:00,64.03124237432849,profit,40.0
364,2021-06-09 23:25:00,2021-06-09 23:35:00,50.99019513592785,profit,10.0
363,2021-06-09 17:55:00,2021-06-09 18:05:00,50.99019513592785,profit,10.0
194,2021-03-20 15:00:00,2021-03-20 15:05:00,50.24937810560445,profit,5.0
361,2021-06-08 13:10:00,2021-06-08 13:30:00,53.85164807134504,profit,20.0
359,2021-06-08 02:35:00,2021-06-08 02:45:00,50.99019513592785,profit,10.0
398,2021-06-26 21:05:00,2021-06-26 21:10:00,50.24937810560445,profit,5.0
323,2021-05-21 04:25:00,2021-05-21 04:30:00,50.24937810560445,profit,5.0
215,2021-03-30 06:20:00,2021-03-30 06:50:00,58.309518948453004,profit,30.0
282,2021-05-04 03:45:00,2021-05-04 03:55:00,50.99019513592785,profit,10.0
281,2021-05-03 22:05:00,2021-05-03 22:25:00,53.85164807134504,profit,20.0
234,2021-04-11 12:15:00,2021-04-11 13:35:00,94.33981132056604,profit,80.0
278,2021-05-01 18:55:00,2021-05-01 19:30:00,61.032778078668514,profit,35.0
236,2021-04-12 06:00:00,2021-04-12 06:45:00,67.26812023536856,profit,45.0
276,2021-04-30 22:25:00,2021-04-30 22:30:00,50.24937810560445,profit,5.0
275,2021-04-30 13:25:00,2021-04-30 13:40:00,52.20153254455275,profit,15.0
238,2021-04-13 09:50:00,2021-04-13 09:55:00,50.24937810560445,profit,5.0
272,2021-04-29 14:40:00,2021-04-29 15:20:00,64.03124237432849,profit,40.0
239,2021-04-13 15:40:00,2021-04-13 15:45:00,50.24937810560445,profit,5.0
